bookTitle,bookRating,ISBN,bookAuthor,yearOfPublication,Publisher,url,bookImage,bookDesc,ratingCount,bookPages,bookGenres
To Kill a Mockingbird,4.28,446310786,Harper Lee,1988,Little Brown &amp,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690l/2657.jpg,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. ""To Kill A Mockingbird"" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, ""To Kill A Mockingbird"" takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.",4772918,324 pages,"['Classics', 'Fiction', 'Historical-HistoricalFiction', 'Academic-School', 'Literature', 'YoungAdult', 'Historical', 'Novels', 'Academic-ReadForSchool', 'YoungAdult-HighSchool']"
Pride and Prejudice,4.27,055321215X,Jane Austen,1983,Bantam,https://www.goodreads.com/book/show/44623850-pride-and-prejudice,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553681418l/44623850._SY475_.jpg,"an alternate cover edition can be found hereIn this historic romance, young Elizabeth Bennet strives for love, independence and honesty in the vapid high society of 19th century England.--amazon.com",3206208,446 pages,"['Classics', 'Fiction', 'Romance', 'Historical-HistoricalFiction', 'Literature', 'Historical', 'Novels', 'Romance-HistoricalRomance', 'Adult', 'Audiobook']"
Animal Farm,3.96,451526341,George Orwell,2004,Signet,https://www.goodreads.com/book/show/14060211-animal-farm,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337495617l/14060211.jpg,"This remarkable book has been described in many ways—as a masterpiece...a fairy story...a brilliant satire...a frightening view of the future.A devastating attack on the pig-headed, gluttonous and avaricious rulers in an imaginary totalitarian state, it illuminates the range of human experience from love to hate, from comedy to tragedy.With an Introduction by C.M. Woodhouse",2927053,95 pages,"['Classics', 'Fiction', 'ScienceFiction-Dystopia', 'Fantasy', 'Literature', 'Politics', 'Academic-School', 'ScienceFiction', 'Novels', 'Academic-ReadForSchool']"
Gone with the Wind,4.3,446365386,Margaret Mitchell,1993,Warner Books,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551144577l/18405._SY475_.jpg,"Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea.",1106466,1037 pages,"['Classics', 'Historical-HistoricalFiction', 'Fiction', 'Romance', 'Historical', 'War', 'Literature', 'MilitaryHistory-CivilWar', 'Romance-HistoricalRomance', 'Novels']"
The Giving Tree,4.37,60256664,Shel Silverstein,1964,HarperCollins,https://www.goodreads.com/book/show/370493.The_Giving_Tree,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174210942l/370493._SX318_.jpg,"""Once there was a tree...and she loved a little boy.""So begins a story of unforgettable perception, beautifully written and illustrated by the gifted and versatile Shel Silverstein.Every day the boy would come to the tree to eat her apples, swing from her branches, or slide down her trunk...and the tree was happy. But as the boy grew older he began to want more from the tree, and the tree gave and gave and gave.This is a tender story, touched with sadness, aglow with consolation. Shel Silverstein has created a moving parable for readers of all ages that offers an affecting interpretation of the gift of giving and a serene acceptance of another's capacity to love in return.",952487,64 pages,"['Childrens', 'Childrens-PictureBooks', 'Classics', 'Fiction', 'Poetry', 'YoungAdult', 'Fantasy', 'Childrens-Juvenile', 'Kids', 'ShortStories']"
The Da Vinci Code,3.87,385504209,Dan Brown,2003,Doubleday,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579621267l/968.jpg,"ISBN 9780307277671 moved to this edition.While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night. The elderly curator of the Louvre has been murdered inside the museum, his body covered in baffling symbols. As Langdon and gifted French cryptologist Sophie Neveu sort through the bizarre riddles, they are stunned to discover a trail of clues hidden in the works of Leonardo da Vinci—clues visible for all to see and yet ingeniously disguised by the painter.Even more startling, the late curator was involved in the Priory of Sion—a secret society whose members included Sir Isaac Newton, Victor Hugo, and Da Vinci—and he guarded a breathtaking historical secret. Unless Langdon and Neveu can decipher the labyrinthine puzzle—while avoiding the faceless adversary who shadows their every move—the explosive, ancient truth will be lost forever.",2019591,489 pages,"['Fiction', 'Mystery', 'Thriller', 'Suspense', 'Thriller-MysteryThriller', 'Historical-HistoricalFiction', 'Adventure', 'Novels', 'Mystery-Crime', 'Adult']"
Memoirs of a Geisha,4.12,375400117,Arthur Golden,1997,Alfred A. Knopf,https://www.goodreads.com/book/show/930.Memoirs_of_a_Geisha,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388367666l/930.jpg,"A literary sensation and runaway bestseller, this brilliant debut novel presents with seamless authenticity and exquisite lyricism the true confessions of one of Japan's most celebrated geisha.In Memoirs of a Geisha, we enter a world where appearances are paramount; where a girl's virginity is auctioned to the highest bidder; where women are trained to beguile the most powerful men; and where love is scorned as illusion. It is a unique and triumphant work of fiction - at once romantic, erotic, suspenseful - and completely unforgettable.",1774614,434 pages,"['Fiction', 'Historical-HistoricalFiction', 'Romance', 'Historical', 'Classics', 'Cultural-Japan', 'Adult', 'Novels', 'Cultural-Asia', 'AdultFiction']"
The Hitchhiker's Guide to the Galaxy,4.22,671461494,Douglas Adams,1982,Pocket,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531891848l/11._SY475_.jpg,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.Together this dynamic pair begin a journey through space aided by quotes from The Hitchhiker's Guide (""A towel is about the most massively useful thing an interstellar hitchhiker can have"") and a galaxy-full of fellow travelers: Zaphod Beeblebrox—the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy; Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant, and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years.",1518915,216 pages,"['ScienceFiction', 'Fiction', 'Humor', 'Fantasy', 'Classics', 'Humor-Comedy', 'ScienceFictionFantasy', 'Audiobook', 'Adventure', 'Novels']"
The Perks of Being a Wallflower,4.2,671027344,Stephen Chbosky,1999,MTV,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520093244l/22628.jpg,"standing on the fringes of life...offers a unique perspective. But there comes a time to seewhat it looks like from the dance floor.This haunting novel about the dilemma of passivity vs. passion marks the stunning debut of a provocative new voice in contemporary fiction: The Perks of Being A WALLFLOWERThis is the story of what it's like to grow up in high school. More intimate than a diary, Charlie's letters are singular and unique, hilarious and devastating. We may not know where he lives. We may not know to whom he is writing. All we know is the world he shares. Caught between trying to live his life and trying to run from it puts him on a strange course through uncharted territory. The world of first dates and mixed tapes, family dramas and new friends. The world of sex, drugs, and The Rocky Horror Picture Show, when all one requires is that the perfect song on that perfect drive to feel infinite.Through Charlie, Stephen Chbosky has created a deeply affecting coming-of-age story, a powerful novel that will spirit you back to those wild and poignant roller coaster days known as growing up.(back cover)",1325687,213 pages,"['YoungAdult', 'Fiction', 'Contemporary', 'YoungAdult-ComingOfAge', 'Romance', 'RealisticFiction', 'Classics', 'LGBT', 'Health-MentalHealth', 'YoungAdult-Teen']"
Ender's Game,4.3,812589041,Orson Scott Card,1999,Tor Books,https://www.goodreads.com/book/show/375802.Ender_s_Game,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408303130l/375802.jpg,"Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy seeking to destroy all human life. The only way to find out is to throw Ender into ever harsher training, to chip away and find the diamond inside, or destroy him utterly. Ender Wiggin is six years old when it begins. He will grow up fast.But Ender is not the only result of the experiment. The war with the Buggers has been raging for a hundred years, and the quest for the perfect general has been underway almost as long. Ender's two older siblings, Peter and Valentine, are every bit as unusual as he is, but in very different ways. While Peter was too uncontrollably violent, Valentine very nearly lacks the capability for violence altogether. Neither was found suitable for the military's purpose. But they are driven by their jealousy of Ender, and by their inbred drive for power. Peter seeks to control the political process, to become a ruler. Valentine's abilities turn more toward the subtle control of the beliefs of commoner and elite alike, through powerfully convincing essays. Hiding their youth and identities behind the anonymity of the computer networks, these two begin working together to shape the destiny of Earth-an Earth that has no future at all if their brother Ender fails.",1183035,324 pages,"['ScienceFiction', 'Fiction', 'YoungAdult', 'Fantasy', 'Classics', 'ScienceFictionFantasy', 'ScienceFiction-Dystopia', 'War', 'Audiobook', 'Adventure']"
