userId,ISBN,bookRating
276747,60517794,4.5
276747,679776818,4
276755,451166892,2.5
276796,330332775,2.5
276925,140154078,3
276925,385504209,4
276953,446310786,5
276964,886773741,3.5
276988,671793489,4
277042,312283709,4
277094,64404773,5
277107,081297106X,5
277109,425191184,2.5
277124,440241073,4.5
277143,031286504X,5
277157,804109990,3
277168,671032658,2
277187,679745203,4.5
277195,330332775,5
277203,039480001X,4.5
277212,044023722X,4
277246,452282152,5
277261,440241073,3.5
277378,446608955,2
277427,152050167,5
277427,316776963,4
277427,385486804,4.5
277427,385503857,4.5
277427,385504209,4
277427,039304016X,4
277427,743412028,4.5
277427,812504798,4
277469,553572997,4.5
277478,671020560,3.5
277502,385482388,4.5
277517,452282152,4
277523,385508042,5
277523,385510438,5
277527,374516812,5
277527,679439382,3.5
277589,553263226,4.5
277623,1400031346,4
277629,380018179,4
277629,440241073,4
277639,380731851,3
277639,440214041,4.5
277698,316769487,3
277710,61015725,2
277711,1573227889,5
277728,451167783,3.5
277743,446310786,4.5
277761,385502532,4
277795,64406601,2.5
277797,440228441,4
277803,142001740,4
277823,140345353,4
277835,014032724X,5
277844,140345353,4
277884,380789019,3.5
277901,452282152,4
277915,452269571,4
277937,316168815,3.5
277937,452283868,3
277958,142001740,4.5
277969,446527785,4
278007,446670251,3
278026,60572965,4.5
278026,380731851,2.5
278026,380820889,4
278026,515130389,4
278026,671001795,4
278075,452282152,4
278079,385486804,4
278085,374270325,3.5
278089,425076695,4
278107,446605239,4
278122,375727345,5
278131,60958022,4
278137,60002492,3.5
278137,345337662,3.5
278137,380600129,4
278137,804106304,4
278159,385318073,2.5
278188,440122090,2
278194,60926317,4
278194,671683993,4
278194,802139256,3
278202,385324057,1.5
278221,804106304,4.5
278243,375725784,3.5
278251,044020562X,3.5
278257,451153553,4
278307,375410848,3.5
278314,399146431,3.5
278325,440214041,3.5
278356,374270325,4.5
278390,553569058,4.5
278390,671683993,5
278418,395681863,4.5
278418,440479002,4.5
278418,515130389,4
278422,385475721,4
278483,380731851,4
278500,425167720,2.5
278520,316693251,4
278535,440221595,3.5
278536,874778883,3
278541,142001740,4.5
278543,446605239,2.5
278554,152050167,5
278554,752837613,4.5
278556,671028375,3.5
278582,671001795,4
278586,440224624,1.5
278633,60987561,5
278633,439324599,4.5
278633,553278355,4
278633,688162827,4.5
278698,440241073,5
278720,192818252,3.5
278773,380731851,4
278828,671014196,4
278843,60517794,3.5
278843,399146431,4.5
278843,679412956,4
278846,60809833,4
16,345402871,4.5
17,891075275,3
26,446310786,5
32,60168013,4
42,553582747,3.5
53,156047624,5
53,380715899,4.5
91,316769487,4.5
99,451166892,1.5
224,446527165,4
226,671461494,4
242,3257208626,4
243,60915544,5
243,316776963,4.5
243,375400117,5
243,044023722X,3.5
244,151008116,4.5
254,142001740,4.5
254,380789035,5
254,399146431,4.5
254,451167317,4
254,451524934,4.5
254,451526341,4
256,044023722X,4
272,670856045,3.5
280,316769487,3.5
334,1573228737,4
383,517577402,5
388,553569058,5
440,743424425,5
500,084994371X,4
503,385496095,5
507,20427859,4.5
507,142001740,5
507,689710879,5
507,689710895,5
508,440122090,3.5
595,140293248,4.5
595,446610399,4.5
619,193156146X,4.5
638,151001006,5
638,316603287,4.5
638,316769487,5
638,316776963,5
638,316969443,5
638,385504209,5
638,446523569,5
638,446527793,5
638,446531332,5
638,671042556,4.5
651,156341029X,4
685,743211383,5
714,451155750,3.5
741,140065172,5
753,871137380,5
763,805062971,5
776,876850867,4
805,316777730,3.5
805,375501851,4
805,039592720X,4.5
805,452282152,4
805,679732764,5
819,451124340,2.5
834,671027344,3.5
882,380018179,5
882,385504209,5
882,553572997,5
885,804106304,2.5
887,441004016,4
903,876855575,4.5
929,345331605,3.5
929,439404371,4
929,440224624,3
929,671461494,4
929,671617028,4
941,553258001,4.5
969,068986020X,4
1009,671028375,5
1025,394404289,4.5
1025,552998001,4.5
1032,038531258X,5
1032,446310786,5
1075,142001740,5
1075,375726403,3.5
1075,385504209,3.5
1075,892967048,4
1083,014131088X,5
1111,385510438,4
1113,385324057,4.5
1129,553377876,1.5
1131,70212570,3.5
1131,375703055,3.5
1131,385480016,4.5
1131,394758285,3.5
1131,671793489,3.5
1131,743418174,3.5
1155,380814021,3
1155,380817683,5
1155,671032658,4.5
1161,375725784,2.5
1164,380012774,5
1211,385504209,4.5
1214,380600129,4
1223,316693324,1.5
1235,345378490,4.5
1248,345396529,5
1252,031231616X,4
1261,316776963,4
1261,452282152,3.5
1376,425177173,4.5
1389,553572997,4.5
1396,380727501,5
1412,385486804,4.5
1424,60730552,4.5
1424,61015725,4
1424,142001430,3.5
1424,671776134,4
1424,804106304,3
1433,743418174,1.5
1434,60175400,5
1435,60915544,5
1435,345378490,2.5
1504,345370775,4
1515,671027344,4.5
1519,671028375,4
1530,044023722X,4
1548,034540288X,2.5
1548,425167313,4
1548,452282152,4
1548,553131893,4
1548,553234609,4.5
1558,425167720,3.5
1558,446519960,5
1570,156787334,5
1585,449212602,4
1596,60002492,2.5
1608,449212602,5
1641,553375407,3.5
1650,804106304,5
1652,385504209,3.5
1652,679744479,3.5
1660,553582747,2.5
1674,60187271,5
1674,60975547,4.5
1674,345416880,3.5
1674,375725784,5
1674,038548951X,5
1706,446606723,3.5
1706,451524934,5
1718,743418174,4
1725,765342405,4.5
1733,446357405,3.5
1733,446364762,2.5
1773,804106304,4.5
1775,140348107,4
1790,375701427,4
1790,671793489,4
1791,812504364,3.5
1803,385504209,4.5
1830,553377884,3
1830,553572997,3.5
1848,345348109,4.5
1848,671722727,5
1848,786868716,5
1881,080410882X,2
1903,151104212,5
1903,316777730,5
1903,670031518,5
2019,440214041,2.5
2030,140298479,5
2030,394404289,5
2030,044020562X,5
2033,60248025,5
2033,60256664,5
2033,60256737,5
2033,345337662,2.5
2033,451458028,5
2033,765342987,5
2033,812521358,5
2033,812532619,4
2033,836204387,5
2041,671617028,4
2089,446605239,5
2090,440162041,5
2103,451451686,5
2106,081297106X,3
2108,553572997,4.5
2110,64472779,4
2110,140022651,5
2110,151008116,2.5
2115,515120618,3.5
2127,446605239,4
2139,515130389,5
2169,743412028,3.5
2178,452269571,2.5
2179,385504209,5
2179,451524934,4
2179,553373803,5
2179,671721046,5
2197,449702545,4
2198,451524934,5
2255,452264790,4
2276,345447867,4.5
2276,440145465,5
2276,446364622,4
2276,553263226,5
2276,671660632,2.5
2276,886772559,5
2287,380014033,3.5
2288,70212570,4
2288,312993560,4
2312,140348107,4
2313,385482388,2.5
2313,399141146,1.5
2313,399146431,2.5
2337,60987561,3.5
2337,142001740,4
2337,842314296,5
2354,014131088X,4
2354,380814021,3.5
2357,375725784,4
2358,140071083,3
2358,440220653,4
2379,440224624,4
2388,142001740,3
2399,345334310,4
2399,345337662,4.5
2404,679766758,5
2437,515114693,4.5
2481,312850581,4.5
2481,930031067,4
2485,812504364,2.5
2569,553572997,4
2589,671034065,2
2591,449212602,4.5
2719,64407721,3.5
2719,451521358,4
2719,553266055,2.5
2766,60958022,4
2766,141304707,4.5
2766,440221595,4
2766,446310786,5
2766,800786084,3.5
2799,451524934,5
2854,446523569,3.5
2854,446610399,2.5
2891,142001740,3.5
2891,385094787,3
2891,385482388,3.5
2891,038548951X,4
2891,385503857,4.5
2891,446610380,3
2891,571169341,5
2891,679732764,4
2891,804106304,3.5
2891,140003065X,4.5
2892,684857820,4.5
2907,044023722X,2.5
2945,038548951X,4
2966,038531258X,3.5
2977,142001430,3.5
2977,375725784,1.5
2977,452282152,3.5
2977,670894494,3
2996,345361792,4
3009,385424728,3.5
3026,804106304,4
3048,670891576,5
3099,446601241,3.5
3106,765342987,5
3167,60298774,3.5
3167,345337662,2.5
3167,345370775,4.5
3167,034540288X,3.5
3167,440998050,5
3167,449219631,3.5
3167,812505018,4
3172,039480001X,5
3192,316777730,3.5
3232,553236202,2.5
3305,743412028,5
3310,671042858,3.5
3329,884046818,4.5
3331,446527785,5
3346,20427859,2.5
3346,380789035,3
3346,441004385,3.5
3346,441068804,3.5
3346,689710879,3
3346,836204387,4.5
3346,156389470X,5
3350,140293248,3
3350,804106304,5
3362,375725784,3.5
3363,64405176,5
3363,380814021,5
3363,385722435,5
3363,671027344,4.5
3371,70212570,5
3371,671705091,3.5
3373,375727345,3.5
3373,440236703,2.5
3373,440479002,3
3373,671027387,2.5
3393,425191184,4.5
3460,446605239,3
3462,60920432,4.5
3462,316316962,4.5
3471,380713330,5
3481,446675253,2.5
3481,553268880,4
3507,449212602,4
3514,385336179,4.5
3532,440900794,4
3542,446310786,5
3542,044651652X,1.5
3556,385504209,5
3556,385508042,4.5
3556,044651652X,5
3569,679441557,4.5
3578,60987049,4.5
3578,345347951,4
3578,1573225517,5
3583,340821191,3
3594,60808241,3.5
3596,60199652,5
3632,312283709,4
3640,375703764,3
3660,425161617,1.5
3667,375410848,4
3694,446523569,4
3709,067102423X,5
3719,051512608X,3.5
3761,156001454,4.5
3780,743437640,4
3789,380017601,5
3799,140293442,4
3817,380018179,4
3827,140132708,5
3827,345337662,3.5
3827,375714383,4.5
3827,765342987,5
3840,385508042,4
3840,399147853,4.5
3840,193156146X,5
3917,031205436X,5
3917,394758285,3.5
3917,1573226521,3.5
3923,312135653,3
3923,380789019,3.5
3948,451155750,4.5
3965,345391055,4.5
3999,385504209,5
4017,60517794,5
4017,60915544,4
4017,140042598,5
4017,312243111,5
4017,375411550,5
4017,375701966,4.5
4017,385486804,5
4017,385502532,4.5
4017,446310786,5
4017,452264790,2.5
4017,452280621,5
4017,452282829,5
4053,374129983,1
4077,380789035,4
